Tactic,TacticDescription,Description,Security,System,Sysmon,Powershell,BITS,Firewall,Script
TOOLING DOWNLOAD:,Downloading toolset through multiple download channels.,Downloading via BITS,4688,"7040, 7036","1, 3, 7, 11, 22, 29","4103, 4104","3, 59, 60, 4",,.\Scripts\Command_Control\Tooling_Transfer\Tool_Download_BITS.ps1
TOOLING DOWNLOAD:,Downloading toolset through multiple download channels.,Downloading via Invoke-Webrequest,,,"1, 3, 11, 22, 29","4103, 4104",,,.\Scripts\Command_Control\Tooling_Transfer\Tool_Download_WINVOKE.ps1
TOOLING DOWNLOAD:,Downloading toolset through multiple download channels.,Downloading via Curl,,,"1, 3, 11, 22, 29","4103, 4104",,,.\Scripts\Command_Control\Tooling_Transfer\Tool_Download_CURL.ps1
CODE EXECUTION:,Executing code through various channels.,Testing via RunDLL,4688,,"1, 10, 13",,,,.\Scripts\Execution\Command_Scripting\Code_Execution_RunDLL.bat
CODE EXECUTION:,Executing code through various channels.,Testing via WMI,4688,,"1, 10",,,,.\Scripts\Execution\Command_Scripting\Code_Execution_WMI.bat
CODE EXECUTION:,Executing code through various channels.,Testing PowerShell encoded commands,4688,,"1, 10, 11, 13, 29","4103, 4104",,,.\Scripts\Execution\Command_Scripting\Code_Execution_EncodedPowerShell.bat
DEFENSE EVASION:,Evading security controls on the system.,Installing rogue root certificate,"4657, 5059, 5061, 5058",1056,"7, 11, 12, 13","4103, 4104",,,.\Scripts\Defense_Evasion\Subverting_Trust_Control\Certificate_Install.ps1
DEFENSE EVASION:,Evading security controls on the system.,Creating new exclusions in Windows Firewall,"4688, 4657, 5447, 4946",,"1, 13",,,2097,.\Scripts\Defense_Evasion\Firewall_Rule_Create.bat
DEFENSE EVASION:,Evading security controls on the system.,Disabling exclusions in Windows Firewall,"4688, 4657, 5447, 4947",,"1, 13",,,2099,.\Scripts\Defense_Evasion\Firewall_Rule_Disable.bat
DEFENSE EVASION:,Evading security controls on the system.,Deleting exclusions in Windows Firewall,"4688, 4657, 4948",,"1, 12",,,,.\Scripts\Defense_Evasion\Firewall_Rule_Delete.bat
DEFENSE EVASION:,Evading security controls on the system.,Disabling the Windows Firewall,"4688, 4657, 5447, 4950",,"1, 13",4104,,2003,.\Scripts\Defense_Evasion\Firewall_Disable.ps1
PERSISTENCE:,Deploying configurations that allows persistant access to system.,Creating new user account via Cmd,"4688, 4728, 4720, 4722, 4738, 4724, 4732",,1,,,,.\Scripts\Persistence\User_Creation\NetUser.bat
PERSISTENCE:,Deploying configurations that allows persistant access to system.,Creating new user account via PowerShell,"4728, 4720, 4722, 4738, 4724",,,4103,,,.\Scripts\Persistence\User_Creation\New_LocalUser.ps1
PERSISTENCE:,Deploying configurations that allows persistant access to system.,Create HEG_User,N/A,,N/A,N/A,,,.\Scripts\Persistence\HU_Create.bat
PERSISTENCE:,Deploying configurations that allows persistant access to system.,Assigning user a non-expirable password,4738,,,,,,.\Scripts\Persistence\HU_PasswordExpirey.ps1
PERSISTENCE:,Deploying configurations that allows persistant access to system.,Promote user to Administrator & RDP Users groups,4732,,,,,,.\Scripts\Persistence\HU_Groups_Add.ps1
